StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2022-11-01,South Australia,Email,65 and over,Male,Investment scams,Investment scams,,6
2024-04-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,58
2022-02-01,Victoria,Email,65 and over,Female,Buying or selling,False billing,,11
2021-05-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,,18
2020-12-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,68
2024-03-01,Victoria,Fax,65 and over,Female,Attempts to gain your personal information,Phishing,,8
2021-09-01,Tasmania,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,3
2021-10-01,New South Wales,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,,3
2023-09-01,Queensland,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,141
2024-03-01,Northern Territory,Phone call,65 and over,Male,Buying or selling,False billing,,1
2020-02-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,,2
2022-07-01,Queensland,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,66
2022-07-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,,57
2020-12-01,South Australia,Phone call,65 and over,Female,Buying or selling,False billing,,3
2022-12-01,Queensland,unspecified,65 and over,X (Indeterminate/Intersex/Unspecified),Attempts to gain your personal information,Phishing,,3
2024-02-01,Victoria,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,,28
2022-06-01,New South Wales,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,42
2024-02-01,Tasmania,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,,2
2021-12-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,,10
2023-08-01,New South Wales,Internet,65 and over,X (Indeterminate/Intersex/Unspecified),Attempts to gain your personal information,Phishing,,2
2021-10-01,Victoria,Email,65 and over,Female,Investment scams,Investment scams,,5
2023-08-01,Victoria,Email,65 and over,Female,Buying or selling,False billing,,78
2024-02-01,Australian Capital Territory,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,4
2023-03-01,Western Australia,Text message,65 and over,Female,Buying or selling,False billing,,9
2021-08-01,Queensland,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,,49
2023-06-01,South Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,,25
2023-08-01,South Australia,Phone call,65 and over,Female,Buying or selling,False billing,,6
2024-06-01,Tasmania,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,12
2022-02-01,Western Australia,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,22
2022-03-01,Western Australia,Email,65 and over,Male,Buying or selling,False billing,,12
2023-01-01,Queensland,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,53
2023-11-01,Queensland,Text message,65 and over,Male,Buying or selling,False billing,,33
2024-01-01,New South Wales,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,148
2024-04-01,Australian Capital Territory,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,,38
2021-02-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,68
2020-08-01,Outside of Australia,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,,1
2023-03-01,South Australia,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,88
2023-07-01,South Australia,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,63
2022-07-01,Western Australia,Email,65 and over,Male,Buying or selling,False billing,,9
2020-05-01,Western Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,10
2023-11-01,Victoria,Phone call,65 and over,Male,Buying or selling,False billing,,14
2022-12-01,Western Australia,unspecified,65 and over,X (Indeterminate/Intersex/Unspecified),Attempts to gain your personal information,Phishing,,1
2023-10-01,Western Australia,Email,65 and over,Female,Buying or selling,False billing,,26
2020-02-01,Victoria,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,12
2024-01-01,Tasmania,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,24
2023-08-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,102
2022-01-01,New South Wales,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,,84
2022-04-01,New South Wales,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,100
2024-03-01,Victoria,Text message,65 and over,Female,Buying or selling,False billing,,27
2022-03-01,South Australia,Email,65 and over,Female,Buying or selling,False billing,,9
2022-08-01,Victoria,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,53
2022-10-01,Australian Capital Territory,Text message,65 and over,Male,Buying or selling,False billing,,8
2020-04-01,Victoria,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,,9
2024-03-01,Queensland,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,,101
2024-05-01,South Australia,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,68
2021-10-01,Queensland,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,45
2023-02-01,Victoria,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,72
2023-02-01,Victoria,Text message,65 and over,Male,Buying or selling,False billing,,54
2020-10-01,New South Wales,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,,1
2021-07-01,New South Wales,Text message,65 and over,Male,Buying or selling,False billing,,16
2021-09-01,Victoria,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,46
2024-06-01,New South Wales,Email,65 and over,Female,Buying or selling,False billing,,58
2024-05-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,,24
2021-06-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,,35
2023-11-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,,13
2024-03-01,Tasmania,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,8
2020-04-01,Australian Capital Territory,Email,65 and over,Female,Buying or selling,False billing,,1
2023-03-01,New South Wales,Text message,65 and over,Male,Buying or selling,False billing,,62
2022-05-01,Queensland,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,,42
2023-12-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,,13
2020-03-01,Australian Capital Territory,Phone call,65 and over,Male,Investment scams,Investment scams,,2
2024-04-01,Victoria,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,207
2024-03-01,Western Australia,Text message,65 and over,Male,Buying or selling,False billing,,9
2022-02-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,,12
2022-04-01,Queensland,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,32
2023-09-01,Western Australia,Phone call,65 and over,Male,Buying or selling,False billing,,7
2021-05-01,Victoria,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,,25
2020-01-01,Victoria,Phone call,65 and over,Male,Buying or selling,False billing,,8
2021-10-01,New South Wales,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,224
2021-04-01,Australian Capital Territory,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,8
2024-06-01,Victoria,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,289
2023-04-01,Australian Capital Territory,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,21
2021-10-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,58
2023-01-01,Victoria,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,,6
2024-02-01,Australian Capital Territory,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,8
2021-06-01,New South Wales,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,,51
2023-04-01,Western Australia,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,46
2021-04-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,59
2023-02-01,Queensland,Text message,65 and over,Male,Buying or selling,False billing,,55
2021-02-01,Victoria,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,14
2022-09-01,Queensland,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,39
2022-08-01,Victoria,Text message,65 and over,Male,Buying or selling,False billing,,30
2024-03-01,Queensland,Phone call,65 and over,Male,Buying or selling,False billing,,17
