StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2022-09-01,Tasmania,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,$5100.00,6
2022-12-01,Tasmania,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,$4990.00,9
2023-10-01,Tasmania,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,$2900.00,13
2021-09-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$1.00,26
2022-04-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$44812.00,25
2022-08-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$27117.00,31
2022-09-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$29784.00,21
2022-10-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$12998.00,36
2022-11-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$41050.00,39
2022-12-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$110097.00,31
2023-01-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$32737.00,45
2023-02-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$5320.00,48
2023-04-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$11452.00,16
2023-05-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$4700.00,21
2023-10-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$1950.00,27
2023-11-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$1215.00,36
2024-02-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$1929.99,19
2024-03-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$730.60,15
2024-04-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$6267.89,32
2024-05-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$27449.78,27
2024-06-01,Western Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,$2065.00,26
2020-12-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$6215.00,22
2021-02-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$2500.00,21
2021-06-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$13000.00,36
2022-04-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$368236.00,9
2022-08-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$2599.00,14
2022-09-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$4700.00,12
2022-11-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$62000.00,12
2023-04-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$2991.00,9
2023-05-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$5000.00,15
2023-06-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$3700.00,14
2024-03-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$1335.00,14
2024-04-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$10000.00,15
2024-05-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,$13055.00,14
2020-07-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$0.00,16
2020-10-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$70020.00,21
2021-01-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$200.00,10
2021-08-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$5000.00,22
2021-09-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$434.00,22
2021-10-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$3205.00,19
2022-03-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$198.00,11
2022-08-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$3750.00,12
2022-09-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$2500.00,11
2023-02-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$22400.00,10
2023-03-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$150.00,15
2023-07-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$3000.00,9
2023-10-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$33500.00,11
2024-04-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$14930.00,7
2024-05-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$9000.00,7
2024-06-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,$27500.00,14
2023-08-01,Tasmania,Email,65 and over,Female,Attempts to gain your personal information,Phishing,$400.00,5
2022-02-01,Tasmania,Email,65 and over,Male,Attempts to gain your personal information,Phishing,$5203.00,14
2023-06-01,Tasmania,Email,65 and over,Male,Attempts to gain your personal information,Phishing,$2617.00,13
2022-04-01,Outside of Australia,Email,65 and over,Female,Attempts to gain your personal information,Phishing,$80.00,2
2022-07-01,Victoria,Internet,65 and over,Female,Attempts to gain your personal information,Phishing,$2000.00,3
2024-02-01,Victoria,Internet,65 and over,Female,Attempts to gain your personal information,Phishing,$200.00,2
2020-04-01,Victoria,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$10.00,3
2023-07-01,Western Australia,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$1000.00,2
2020-02-01,New South Wales,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$86.00,2
2023-03-01,New South Wales,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$30.00,5
2023-09-01,New South Wales,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$500.00,2
2022-12-01,Queensland,Social media/Online forums,65 and over,Female,Attempts to gain your personal information,Phishing,$11830.00,3
2023-05-01,Queensland,Social media/Online forums,65 and over,Female,Attempts to gain your personal information,Phishing,$10000.00,2
2022-08-01,Victoria,Social media/Online forums,65 and over,Female,Attempts to gain your personal information,Phishing,$34968.00,6
2022-07-01,New South Wales,Social media/Online forums,65 and over,Female,Attempts to gain your personal information,Phishing,$13575.00,4
2022-04-01,New South Wales,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$1836.00,12
2022-06-01,New South Wales,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$24862.00,11
2022-08-01,New South Wales,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$75918.00,25
2022-09-01,New South Wales,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$33359.00,12
2022-10-01,New South Wales,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$13300.00,7
2022-12-01,New South Wales,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$150.00,12
2023-01-01,New South Wales,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$16803.00,12
2023-02-01,New South Wales,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$2000.00,6
2022-06-01,New South Wales,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$6970.00,5
2022-08-01,New South Wales,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$19350.00,7
2023-03-01,New South Wales,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$6500.00,11
2024-06-01,New South Wales,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$1.00,2
2022-06-01,Victoria,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$8849.00,10
2022-07-01,Victoria,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$65334.00,20
2022-08-01,Victoria,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$6847.00,7
2022-09-01,Victoria,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$32454.00,10
2022-06-01,South Australia,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$4981.00,4
2022-06-01,Western Australia,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$4500.00,4
2022-07-01,Western Australia,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$10190.00,6
2022-10-01,Queensland,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$13762.00,6
2022-11-01,Queensland,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$10002.00,5
2023-01-01,South Australia,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$5280.00,3
2023-03-01,Western Australia,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$7285.00,2
2023-04-01,Western Australia,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$1500.00,2
2022-05-01,Queensland,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$980.00,6
2024-04-01,Queensland,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$14700.00,3
2021-05-01,Queensland,Mobile apps,65 and over,Female,Buying or selling,False billing,$2199.00,2
2022-08-01,Victoria,Mobile apps,65 and over,Female,Buying or selling,False billing,$4818.00,2
2023-02-01,New South Wales,Mobile apps,65 and over,Male,Buying or selling,False billing,$14.00,7
2023-03-01,New South Wales,Mobile apps,65 and over,Male,Buying or selling,False billing,$61.00,4
2023-03-01,Victoria,Mobile apps,65 and over,Male,Buying or selling,False billing,$109.00,3
2020-12-01,Queensland,Social media/Online forums,65 and over,Female,Buying or selling,False billing,$140.00,2
2022-11-01,New South Wales,Social media/Online forums,65 and over,Male,Buying or selling,False billing,$420.00,2
2020-06-01,Victoria,Internet,65 and over,Male,Buying or selling,False billing,$60.00,3
2021-01-01,Queensland,Internet,65 and over,Female,Buying or selling,False billing,$157.00,2
2021-09-01,South Australia,Internet,65 and over,Female,Buying or selling,False billing,$97.00,2
2022-11-01,Victoria,Internet,65 and over,Female,Buying or selling,False billing,$467.00,4
2023-04-01,South Australia,Internet,65 and over,Female,Buying or selling,False billing,$55.00,3
2023-04-01,Victoria,Internet,65 and over,Male,Buying or selling,False billing,$100.00,3
2023-05-01,Western Australia,Internet,65 and over,Female,Buying or selling,False billing,$400.00,4
2024-05-01,Western Australia,Internet,65 and over,Male,Buying or selling,False billing,$201.50,3
2024-06-01,South Australia,Internet,65 and over,Male,Buying or selling,False billing,$2030.00,3
2023-09-01,New South Wales,Internet,65 and over,Female,Buying or selling,False billing,$560.00,3
2023-10-01,New South Wales,Internet,65 and over,Male,Buying or selling,False billing,$2214.00,3
2024-04-01,New South Wales,Internet,65 and over,Female,Buying or selling,False billing,$63000.00,5
2020-11-01,Queensland,Mail,65 and over,Female,Buying or selling,False billing,$199.00,3
2021-01-01,New South Wales,Mail,65 and over,Male,Buying or selling,False billing,$1697.00,3
2021-06-01,New South Wales,Mail,65 and over,Male,Buying or selling,False billing,$34.00,3
2022-10-01,New South Wales,Mail,65 and over,Male,Buying or selling,False billing,$400.00,3
2022-04-01,Tasmania,Email,65 and over,Male,Buying or selling,False billing,$105.00,3
2023-03-01,Tasmania,Email,65 and over,Male,Buying or selling,False billing,$1000.00,16
2023-10-01,Tasmania,Email,65 and over,Female,Buying or selling,False billing,$500.00,5
2022-02-01,Australian Capital Territory,Email,65 and over,Male,Buying or selling,False billing,$3680.00,6
2023-12-01,Australian Capital Territory,Email,65 and over,Male,Buying or selling,False billing,$1500.00,15
2024-06-01,Australian Capital Territory,Email,65 and over,Male,Buying or selling,False billing,$1500.00,10
2023-12-01,Australian Capital Territory,Email,65 and over,Female,Buying or selling,False billing,$9579.00,6
2020-01-01,South Australia,Email,65 and over,Female,Buying or selling,False billing,$829.00,3
2020-04-01,South Australia,Email,65 and over,Female,Buying or selling,False billing,$10430.00,7
2021-12-01,South Australia,Email,65 and over,Female,Buying or selling,False billing,$389.00,10
2023-03-01,South Australia,Email,65 and over,Female,Buying or selling,False billing,$4070.00,39
2023-05-01,South Australia,Email,65 and over,Female,Buying or selling,False billing,$3767.00,20
2023-07-01,South Australia,Email,65 and over,Female,Buying or selling,False billing,$470.00,22
2023-09-01,South Australia,Email,65 and over,Female,Buying or selling,False billing,$720.00,11
2023-12-01,South Australia,Email,65 and over,Female,Buying or selling,False billing,$83.00,11
2024-03-01,South Australia,Email,65 and over,Female,Buying or selling,False billing,$17373.90,13
2020-08-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$10000.00,4
2020-11-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$47.00,7
2021-10-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$356.00,9
2022-10-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$908.00,16
2023-01-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$4000.00,12
2023-02-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$10578.00,25
2023-03-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$1179.00,23
2023-04-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$1830.00,32
2023-06-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$820.00,27
2023-09-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$360.00,25
2023-12-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$2000.00,20
2024-06-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$358.00,36
2020-11-01,Western Australia,Email,65 and over,Female,Buying or selling,False billing,$3742.00,5
2022-01-01,Western Australia,Email,65 and over,Female,Buying or selling,False billing,$2416.00,7
2022-06-01,Western Australia,Email,65 and over,Female,Buying or selling,False billing,$54.00,12
2023-08-01,Western Australia,Email,65 and over,Female,Buying or selling,False billing,$231.00,19
2023-09-01,Western Australia,Email,65 and over,Female,Buying or selling,False billing,$1750.00,38
2024-01-01,Western Australia,Email,65 and over,Female,Buying or selling,False billing,$5000.00,19
2024-05-01,Western Australia,Email,65 and over,Female,Buying or selling,False billing,$0.00,19
2020-03-01,Victoria,Phone call,65 and over,Male,Buying or selling,False billing,$39.00,4
2020-09-01,Victoria,Phone call,65 and over,Male,Buying or selling,False billing,$2300.00,11
2020-10-01,Victoria,Phone call,65 and over,Male,Buying or selling,False billing,$639.00,15
2020-12-01,Victoria,Phone call,65 and over,Male,Buying or selling,False billing,$3500.00,16
2021-01-01,Victoria,Phone call,65 and over,Male,Buying or selling,False billing,$1002.00,11
2021-04-01,Victoria,Phone call,65 and over,Male,Buying or selling,False billing,$119.00,27
2021-08-01,Victoria,Phone call,65 and over,Male,Buying or selling,False billing,$17280.00,27
2021-09-01,Victoria,Phone call,65 and over,Male,Buying or selling,False billing,$5800.00,44
2022-04-01,Victoria,Phone call,65 and over,Male,Buying or selling,False billing,$6000.00,20
2022-12-01,Victoria,Phone call,65 and over,Male,Buying or selling,False billing,$200.00,6
2023-02-01,Victoria,Phone call,65 and over,Male,Buying or selling,False billing,$1405.00,17
2020-06-01,Australian Capital Territory,Phone call,65 and over,Female,Buying or selling,False billing,$19.00,15
2022-06-01,Tasmania,Phone call,65 and over,Male,Buying or selling,False billing,$291.00,3
2020-03-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$4968.00,10
2020-08-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$252.00,19
2020-10-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$3612.00,23
2020-12-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$259.00,16
2021-01-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$1874.00,20
2021-03-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$2530.00,31
2021-05-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$2500.00,25
2021-07-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$4000.00,20
2021-09-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$595.00,28
2021-11-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$1875.00,16
2022-02-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$199999.00,11
2022-03-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$500.00,15
2022-05-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$8080.00,19
2022-06-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$10.00,15
2022-09-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$9300.00,14
2022-11-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$314.00,16
2023-02-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$10299.00,15
2023-05-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$800.00,8
2023-07-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$180.00,10
2023-08-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$1934.00,18
2023-10-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,$2600.00,7
2020-07-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,$949.00,13
2020-09-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,$703.00,14
2021-02-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,$39.00,28
2021-03-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,$5975.00,31
2021-06-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,$39.00,34
2021-07-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,$10574.00,41
2021-08-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,$17580.00,49
2021-09-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,$5199.00,39
2022-11-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,$2800.00,21
2023-02-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,$7000.00,13
2023-04-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,$158.00,19
2023-12-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,$50.00,14
2024-04-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,$7659.00,9
2023-06-01,Tasmania,Text message,65 and over,Female,Buying or selling,False billing,$300.00,3
2020-12-01,Queensland,Text message,65 and over,Male,Buying or selling,False billing,$1.00,7
2022-07-01,Queensland,Text message,65 and over,Male,Buying or selling,False billing,$1850.00,5
2022-08-01,Queensland,Text message,65 and over,Male,Buying or selling,False billing,$3000.00,23
2023-01-01,Queensland,Text message,65 and over,Male,Buying or selling,False billing,$400.00,44
2023-03-01,Queensland,Text message,65 and over,Male,Buying or selling,False billing,$1958.00,47
2023-09-01,Queensland,Text message,65 and over,Male,Buying or selling,False billing,$998.00,40
2022-08-01,Queensland,Text message,65 and over,Female,Buying or selling,False billing,$5110.00,19
2022-10-01,Queensland,Text message,65 and over,Female,Buying or selling,False billing,$20.00,38
2023-03-01,Queensland,Text message,65 and over,Female,Buying or selling,False billing,$6793.00,51
2022-07-01,Victoria,Text message,65 and over,Female,Buying or selling,False billing,$9915.00,18
2022-08-01,Victoria,Text message,65 and over,Female,Buying or selling,False billing,$1500.00,34
2022-09-01,Victoria,Text message,65 and over,Female,Buying or selling,False billing,$3500.00,13
2022-12-01,Victoria,Text message,65 and over,Female,Buying or selling,False billing,$6.00,40
2023-03-01,Victoria,Text message,65 and over,Female,Buying or selling,False billing,$5744.00,43
2023-04-01,Victoria,Text message,65 and over,Female,Buying or selling,False billing,$536.00,43
2023-09-01,Victoria,Text message,65 and over,Female,Buying or selling,False billing,$150.00,21
2023-11-01,Victoria,Text message,65 and over,Female,Buying or selling,False billing,$7810.00,25
2023-09-01,New South Wales,Social media/Online forums,65 and over,Male,Investment scams,Investment scams,$47000.00,6
2024-03-01,New South Wales,Social media/Online forums,65 and over,Male,Investment scams,Investment scams,$29079.00,2
2022-11-01,Victoria,Social media/Online forums,65 and over,Male,Investment scams,Investment scams,$7000.00,3
2023-07-01,Victoria,Social media/Online forums,65 and over,Male,Investment scams,Investment scams,$241488.00,2
2023-05-01,Queensland,Social media/Online forums,65 and over,Male,Investment scams,Investment scams,$140250.00,5
2020-06-01,New South Wales,Internet,65 and over,Female,Investment scams,Investment scams,$38285.00,3
2021-03-01,Queensland,Internet,65 and over,Female,Investment scams,Investment scams,$90000.00,2
2023-09-01,New South Wales,Internet,65 and over,Female,Investment scams,Investment scams,$3385.00,2
2020-12-01,Western Australia,Internet,65 and over,Male,Investment scams,Investment scams,$250.00,2
2021-10-01,South Australia,Internet,65 and over,Male,Investment scams,Investment scams,$350.00,2
2023-04-01,Western Australia,Internet,65 and over,Male,Investment scams,Investment scams,$61105.00,2
2024-05-01,Western Australia,Internet,65 and over,Male,Investment scams,Investment scams,$78910.00,3
2020-09-01,Victoria,Internet,65 and over,Male,Investment scams,Investment scams,$390.00,3
2020-10-01,Victoria,Internet,65 and over,Male,Investment scams,Investment scams,$6350.00,3
2020-12-01,Victoria,Internet,65 and over,Male,Investment scams,Investment scams,$285000.00,2
2021-09-01,Victoria,Internet,65 and over,Male,Investment scams,Investment scams,$300000.00,2
2023-11-01,Victoria,Internet,65 and over,Male,Investment scams,Investment scams,$29000.00,4
2022-08-01,Queensland,Internet,65 and over,Male,Investment scams,Investment scams,$202000.00,4
2022-09-01,Queensland,Internet,65 and over,Male,Investment scams,Investment scams,$639000.00,8
2022-11-01,Queensland,Internet,65 and over,Male,Investment scams,Investment scams,$200000.00,3
2024-01-01,Queensland,Internet,65 and over,Male,Investment scams,Investment scams,$50000.00,2
2022-06-01,New South Wales,Internet,65 and over,Male,Investment scams,Investment scams,$353.00,3
2023-03-01,New South Wales,Internet,65 and over,Male,Investment scams,Investment scams,$32000.00,5
2023-07-01,New South Wales,Internet,65 and over,Male,Investment scams,Investment scams,$257000.00,6
2023-12-01,New South Wales,Internet,65 and over,Male,Investment scams,Investment scams,$12000.00,7
2024-05-01,New South Wales,Internet,65 and over,Male,Investment scams,Investment scams,$389.00,2
2022-10-01,Outside of Australia,Mobile apps,65 and over,Male,Investment scams,Investment scams,$19500.00,2
2023-08-01,Outside of Australia,Mobile apps,65 and over,Male,Investment scams,Investment scams,$2160.00,2
2023-08-01,Queensland,In person,65 and over,Male,Investment scams,Investment scams,$50000.00,2
2022-10-01,Outside of Australia,Phone call,65 and over,Female,Investment scams,Investment scams,$1500.00,2
2024-06-01,Outside of Australia,Phone call,65 and over,Female,Investment scams,Investment scams,$600000.00,2
2020-11-01,South Australia,Phone call,65 and over,Male,Investment scams,Investment scams,$850.00,2
2023-09-01,South Australia,Phone call,65 and over,Male,Investment scams,Investment scams,$99000.00,4
2023-12-01,South Australia,Phone call,65 and over,Female,Investment scams,Investment scams,$390.00,2
2023-08-01,Western Australia,Phone call,65 and over,Female,Investment scams,Investment scams,$303.00,2
2020-01-01,Western Australia,Phone call,65 and over,Male,Investment scams,Investment scams,$27888.00,4
2020-02-01,Western Australia,Phone call,65 and over,Male,Investment scams,Investment scams,$86490.00,4
2020-04-01,Western Australia,Phone call,65 and over,Male,Investment scams,Investment scams,$326519.00,4
2021-05-01,Western Australia,Phone call,65 and over,Male,Investment scams,Investment scams,$7400.00,2
2022-05-01,Western Australia,Phone call,65 and over,Male,Investment scams,Investment scams,$49000.00,3
2022-09-01,Western Australia,Phone call,65 and over,Male,Investment scams,Investment scams,$181600.00,3
2023-08-01,Western Australia,Phone call,65 and over,Male,Investment scams,Investment scams,$1650400.00,8
2023-09-01,Western Australia,Phone call,65 and over,Male,Investment scams,Investment scams,$57000.00,4
2024-01-01,Western Australia,Phone call,65 and over,Male,Investment scams,Investment scams,$50000.00,4
2021-07-01,Queensland,Phone call,65 and over,Female,Investment scams,Investment scams,$14500.00,5
2022-07-01,Queensland,Phone call,65 and over,Female,Investment scams,Investment scams,$8163.00,6
2023-11-01,Queensland,Phone call,65 and over,Female,Investment scams,Investment scams,$200000.00,4
2024-02-01,Queensland,Phone call,65 and over,Female,Investment scams,Investment scams,$370.00,4
2024-06-01,Queensland,Phone call,65 and over,Female,Investment scams,Investment scams,$53000.00,5
2020-04-01,Victoria,Phone call,65 and over,Female,Investment scams,Investment scams,$31724.00,5
2021-02-01,Victoria,Phone call,65 and over,Female,Investment scams,Investment scams,$12420.00,4
2021-03-01,Victoria,Phone call,65 and over,Female,Investment scams,Investment scams,$58341.00,6
2021-07-01,Victoria,Phone call,65 and over,Female,Investment scams,Investment scams,$339.00,3
2022-03-01,Victoria,Phone call,65 and over,Female,Investment scams,Investment scams,$95800.00,4
2024-02-01,Victoria,Phone call,65 and over,Female,Investment scams,Investment scams,$40000.00,2
2024-05-01,Victoria,Phone call,65 and over,Female,Investment scams,Investment scams,$100390.00,4
2023-12-01,New South Wales,Text message,65 and over,Female,Investment scams,Investment scams,$40150.00,3
2021-07-01,Western Australia,Email,65 and over,Female,Investment scams,Investment scams,$5000.00,5
2022-01-01,South Australia,Email,65 and over,Female,Investment scams,Investment scams,$14000.00,2
2022-10-01,Western Australia,Email,65 and over,Female,Investment scams,Investment scams,$1200.00,3
2022-11-01,Western Australia,Email,65 and over,Female,Investment scams,Investment scams,$50000.00,6
2024-01-01,Western Australia,Email,65 and over,Female,Investment scams,Investment scams,$450.00,2
2024-05-01,Queensland,Email,65 and over,Female,Investment scams,Investment scams,$190000.00,6
2020-02-01,Western Australia,Email,65 and over,Male,Investment scams,Investment scams,$21946.00,3
2020-04-01,Western Australia,Email,65 and over,Male,Investment scams,Investment scams,$315080.00,2
2022-07-01,Western Australia,Email,65 and over,Male,Investment scams,Investment scams,$250000.00,3
2022-09-01,Western Australia,Email,65 and over,Male,Investment scams,Investment scams,$30000.00,7
2022-10-01,Western Australia,Email,65 and over,Male,Investment scams,Investment scams,$1000.00,6
2022-12-01,Western Australia,Email,65 and over,Male,Investment scams,Investment scams,$322000.00,11
2023-01-01,Western Australia,Email,65 and over,Male,Investment scams,Investment scams,$144100.00,14
2023-02-01,Western Australia,Email,65 and over,Male,Investment scams,Investment scams,$4400019.00,10
2023-04-01,Western Australia,Email,65 and over,Male,Investment scams,Investment scams,$375.00,5
2023-08-01,Western Australia,Email,65 and over,Male,Investment scams,Investment scams,$17000.00,5
2024-02-01,Western Australia,Email,65 and over,Male,Investment scams,Investment scams,$375.00,4
2024-04-01,Western Australia,Email,65 and over,Male,Investment scams,Investment scams,$2557.20,4
2024-06-01,Western Australia,Email,65 and over,Male,Investment scams,Investment scams,$122586.89,6
2020-02-01,Victoria,Email,65 and over,Male,Investment scams,Investment scams,$450.00,6
2020-09-01,Victoria,Email,65 and over,Male,Investment scams,Investment scams,$13200.00,9
2020-09-01,Queensland,Email,65 and over,Male,Investment scams,Investment scams,$1200.00,5
2021-05-01,Victoria,Email,65 and over,Male,Investment scams,Investment scams,$620334.00,7
2021-06-01,Victoria,Email,65 and over,Male,Investment scams,Investment scams,$25000.00,4
2021-08-01,Outside of Australia,Email,65 and over,Male,Investment scams,Investment scams,$81000.00,2
2021-08-01,Victoria,Email,65 and over,Male,Investment scams,Investment scams,$67000.00,10
2021-10-01,South Australia,Email,65 and over,Male,Investment scams,Investment scams,$282850.00,5
2022-05-01,Victoria,Email,65 and over,Male,Investment scams,Investment scams,$350.00,6
2022-09-01,Queensland,Email,65 and over,Male,Investment scams,Investment scams,$207429.00,11
2022-10-01,Queensland,Email,65 and over,Male,Investment scams,Investment scams,$451600.00,7
2022-10-01,South Australia,Email,65 and over,Male,Investment scams,Investment scams,$6000.00,6
